entity_id,canonical_name,entity_type,aliases_json,description,source,source_id,created_at,updated_at
D003866,depressive disorder,disease,"[""depression disorder"", ""depressive disorder""]",A depressive disorder umbrella concept.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
D003865,major depressive disorder,disease,"[""major depression"", ""major depressive disorder"", ""mdd"", ""unipolar depression""]",Major depressive disorder.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
D0000001,treatment-resistant depression,disease,"[""trd"", ""treatment-resistant depression""]",Depression with insufficient response to prior treatment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
S0000001,sadness,symptom,"[""low mood"", ""sadness""]",Depressed or sad mood.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
S0000002,anhedonia,symptom,"[""anhedonia"", ""loss of interest"", ""loss of pleasure""]",Reduced interest or pleasure.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_8a621b79f01ba6ff,fatigue,symptom,"[""fatigue"", ""tiredness""]",Low energy or fatigue.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
S0000003,sleep disturbance,symptom,"[""insomnia"", ""sleep disturbance"", ""sleep problems""]",Sleep-related disturbance.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
R0000001,psychological stress,risk_factor,"[""psychological stress"", ""stress""]",Psychological stress exposure.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
R0000002,social isolation,risk_factor,"[""loneliness"", ""social isolation""]",Reduced social connectedness.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
R0000003,family history,risk_factor,"[""family history"", ""genetic predisposition""]",Family history of mental disorders.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
T0000001,psychotherapy,treatment,"[""psychotherapy"", ""talk therapy""]",Psychological treatment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
T0000002,cognitive behavioral therapy,treatment,"[""cbt"", ""cognitive behavioral therapy""]",A common psychotherapy for depression.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
T0000003,exercise,treatment,"[""exercise"", ""physical activity""]",Exercise-based intervention.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
DR000001,fluoxetine,drug,"[""fluoxetine"", ""prozac""]",An SSRI antidepressant.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
DR000002,sertraline,drug,"[""sertraline"", ""zoloft""]",An SSRI antidepressant.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
DR000003,escitalopram,drug,"[""escitalopram"", ""lexapro""]",An SSRI antidepressant.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
SC000001,phq-9,scale,"[""patient health questionnaire-9"", ""phq-9""]",Depression screening instrument.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
SC000002,hamd,scale,"[""hamd"", ""hamilton depression rating scale""]",Clinician-rated depression scale.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
BM000001,eeg feature,biomarker,"[""eeg"", ""eeg feature"", ""electroencephalography feature""]",EEG-derived biomarker or feature.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_633cb619ffa7d5a3,hopelessness,symptom,"[""despair"", ""hopelessness""]",Feeling of hopelessness.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9606bd1532d45bad,guilt,symptom,"[""feelings of guilt"", ""guilt""]",Excessive guilt.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_d3dc69905ee167d9,suicidal thoughts,symptom,"[""suicidal ideation"", ""suicidal thoughts""]",Thoughts of self-harm.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_18e1dd4ae37c4149,appetite change,symptom,"[""appetite change"", ""increased appetite"", ""loss of appetite""]",Changes in appetite.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_e20112e744f16c67,weight loss,symptom,"[""unintended weight loss"", ""weight loss""]",Unintended weight loss.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_7fa225580b91e41a,concentration problems,symptom,"[""concentration problems"", ""difficulty concentrating""]",Difficulty concentrating.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_2358a9d9c825264e,antidepressants,treatment,"[""antidepressant medication"", ""antidepressants""]",Pharmacological treatment for depression.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_de91122d9f8deb0f,electroconvulsive therapy,treatment,"[""ect"", ""electroconvulsive therapy""]",Electrical stimulation treatment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9a51bf8a0d073c82,transcranial magnetic stimulation,treatment,"[""tms"", ""transcranial magnetic stimulation""]",Magnetic stimulation treatment.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_b59c09ed4f997058,paroxetine,drug,"[""paroxetine"", ""paxil""]",An SSRI antidepressant.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_c1ddcbf3b2a0261b,venlafaxine,drug,"[""effexor"", ""venlafaxine""]",An SNRI antidepressant.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_049faf9d625da6f4,bupropion,drug,"[""bupropion"", ""wellbutrin""]",An NDRI antidepressant.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_019d439be2c7e49a,bipolar disorder,disease,"[""bipolar disorder"", ""manic depression""]",Mood disorder with manic and depressive episodes.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_9042ab864b3eea6d,dysthymia,disease,"[""dysthymia"", ""persistent depressive disorder""]",Chronic mild depression.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_3c34679de46ddbcc,postpartum depression,disease,"[""perinatal depression"", ""postpartum depression""]",Depression after childbirth.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_bc9a0768a969e537,seasonal affective disorder,disease,"[""sad"", ""seasonal affective disorder""]",Depression related to seasonal changes.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_85b0fd202b2b093c,trauma,risk_factor,"[""childhood trauma"", ""trauma""]",History of traumatic experiences.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
ent_f641feb1798ec047,inflammation,risk_factor,"[""chronic inflammation"", ""inflammation""]",Inflammatory processes.,seed,,2026-04-10T11:06:57+00:00,2026-04-10T11:06:57+00:00
