:ID,name,:LABEL,aliases,description,source
D003866,depressive disorder,Entity:Disease,"depression disorder, depressive disorder",A depressive disorder umbrella concept.,seed
D003865,major depressive disorder,Entity:Disease,"major depression, major depressive disorder, mdd, unipolar depression",Major depressive disorder.,seed
D0000001,treatment-resistant depression,Entity:Disease,"trd, treatment-resistant depression",Depression with insufficient response to prior treatment.,seed
S0000001,sadness,Entity:Symptom,"low mood, sadness",Depressed or sad mood.,seed
S0000002,anhedonia,Entity:Symptom,"anhedonia, loss of interest, loss of pleasure",Reduced interest or pleasure.,seed
ent_8a621b79f01ba6ff,fatigue,Entity:Symptom,"fatigue, tiredness",Low energy or fatigue.,seed
S0000003,sleep disturbance,Entity:Symptom,"insomnia, sleep disturbance, sleep problems",Sleep-related disturbance.,seed
R0000001,psychological stress,Entity:Risk_Factor,"psychological stress, stress",Psychological stress exposure.,seed
R0000002,social isolation,Entity:Risk_Factor,"loneliness, social isolation",Reduced social connectedness.,seed
R0000003,family history,Entity:Risk_Factor,"family history, genetic predisposition",Family history of mental disorders.,seed
T0000001,psychotherapy,Entity:Treatment,"psychotherapy, talk therapy",Psychological treatment.,seed
T0000002,cognitive behavioral therapy,Entity:Treatment,"cbt, cognitive behavioral therapy",A common psychotherapy for depression.,seed
T0000003,exercise,Entity:Treatment,"exercise, physical activity",Exercise-based intervention.,seed
DR000001,fluoxetine,Entity:Drug,"fluoxetine, prozac",An SSRI antidepressant.,seed
DR000002,sertraline,Entity:Drug,"sertraline, zoloft",An SSRI antidepressant.,seed
DR000003,escitalopram,Entity:Drug,"escitalopram, lexapro",An SSRI antidepressant.,seed
SC000001,phq-9,Entity:Scale,"patient health questionnaire-9, phq-9",Depression screening instrument.,seed
SC000002,hamd,Entity:Scale,"hamd, hamilton depression rating scale",Clinician-rated depression scale.,seed
BM000001,eeg feature,Entity:Biomarker,"eeg, eeg feature, electroencephalography feature",EEG-derived biomarker or feature.,seed
ent_633cb619ffa7d5a3,hopelessness,Entity:Symptom,"despair, hopelessness",Feeling of hopelessness.,seed
ent_9606bd1532d45bad,guilt,Entity:Symptom,"feelings of guilt, guilt",Excessive guilt.,seed
ent_d3dc69905ee167d9,suicidal thoughts,Entity:Symptom,"suicidal ideation, suicidal thoughts",Thoughts of self-harm.,seed
ent_18e1dd4ae37c4149,appetite change,Entity:Symptom,"appetite change, increased appetite, loss of appetite",Changes in appetite.,seed
ent_e20112e744f16c67,weight loss,Entity:Symptom,"unintended weight loss, weight loss",Unintended weight loss.,seed
ent_7fa225580b91e41a,concentration problems,Entity:Symptom,"concentration problems, difficulty concentrating",Difficulty concentrating.,seed
ent_2358a9d9c825264e,antidepressants,Entity:Treatment,"antidepressant medication, antidepressants",Pharmacological treatment for depression.,seed
ent_de91122d9f8deb0f,electroconvulsive therapy,Entity:Treatment,"ect, electroconvulsive therapy",Electrical stimulation treatment.,seed
ent_9a51bf8a0d073c82,transcranial magnetic stimulation,Entity:Treatment,"tms, transcranial magnetic stimulation",Magnetic stimulation treatment.,seed
ent_b59c09ed4f997058,paroxetine,Entity:Drug,"paroxetine, paxil",An SSRI antidepressant.,seed
ent_c1ddcbf3b2a0261b,venlafaxine,Entity:Drug,"effexor, venlafaxine",An SNRI antidepressant.,seed
ent_049faf9d625da6f4,bupropion,Entity:Drug,"bupropion, wellbutrin",An NDRI antidepressant.,seed
ent_019d439be2c7e49a,bipolar disorder,Entity:Disease,"bipolar disorder, manic depression",Mood disorder with manic and depressive episodes.,seed
ent_9042ab864b3eea6d,dysthymia,Entity:Disease,"dysthymia, persistent depressive disorder",Chronic mild depression.,seed
ent_3c34679de46ddbcc,postpartum depression,Entity:Disease,"perinatal depression, postpartum depression",Depression after childbirth.,seed
ent_bc9a0768a969e537,seasonal affective disorder,Entity:Disease,"sad, seasonal affective disorder",Depression related to seasonal changes.,seed
ent_85b0fd202b2b093c,trauma,Entity:Risk_Factor,"childhood trauma, trauma",History of traumatic experiences.,seed
ent_f641feb1798ec047,inflammation,Entity:Risk_Factor,"chronic inflammation, inflammation",Inflammatory processes.,seed
ent_b06456b185ec5f0b,beck depression inventory,Entity:Scale,"bdi, beck depression inventory",Self-report depression scale.,seed
ent_d44852bb0fd2d331,montgomery-asberg depression rating scale,Entity:Scale,"madrs, montgomery-asberg depression rating scale",Clinician-rated depression scale.,seed
ent_8d5d23d4795bfbd6,cortisol,Entity:Biomarker,"cortisol, stress hormone",Hormone biomarker for stress.,seed
ent_ef632ae8fa4d34ab,serotonin,Entity:Biomarker,"5-ht, serotonin",Neurotransmitter biomarker.,seed
ent_95cc0e5c52ba7aaa,sleep staging,Entity:Task,"sleep stage classification, sleep staging","The process of classifying sleep into Wake, N1, N2, N3, and REM stages.",seed
ent_489d89558dd431c5,rem sleep,Entity:Sleep_Stage,"rapid eye movement, rapid eye movement sleep, rem, rem sleep","A sleep stage associated with vivid dreaming, rapid eye movements, and low muscle tone.",seed
ent_a311694f97362b13,n1 sleep,Entity:Sleep_Stage,"light sleep, n1, n1 sleep, stage n1","The lightest non-REM sleep stage, often marking the transition from wakefulness to sleep.",seed
ent_9d7e839e3f2b793d,n2 sleep,Entity:Sleep_Stage,"n2, n2 sleep, stage n2",A stable non-REM sleep stage characterized by sleep spindles and K-complexes.,seed
ent_d6133211f46f1123,n3 sleep,Entity:Sleep_Stage,"deep sleep, n3, n3 sleep, slow wave sleep, stage n3",Deep non-REM sleep characterized by slow waves and restorative processes.,seed
ent_4657c5e99aff24cc,dreaming,Entity:Sleep_Symptom,"dream a lot, dreaming, frequent dreaming, many dreams, vivid dreams",Frequent or vivid dreaming reported by the subject.,seed
ent_34634bfbb8e35fb8,nocturnal awakening,Entity:Sleep_Symptom,"easy to wake up, frequent awakenings, nocturnal awakening, wake up at night, waking up during the night",Waking up repeatedly during the night.,seed
ent_6031329329a3e140,sleep fragmentation,Entity:Sleep_Pattern,"broken sleep, fragmented sleep, interrupted sleep, sleep fragmentation",A disrupted sleep architecture with frequent awakenings or arousals.,seed
ent_7fb346bc8fa9b27d,sleep spindle,Entity:Eeg_Feature,"sleep spindle, sleep spindles",A hallmark EEG feature of N2 sleep.,seed
ent_8f541ecc0bcbaa45,k-complex,Entity:Eeg_Feature,"k complex, k-complex, k-complexes",A hallmark EEG waveform commonly seen in N2 sleep.,seed
ent_6f9479ee9e4d6b7d,slow wave,Entity:Eeg_Feature,"delta wave, delta waves, slow wave, slow waves",A low-frequency high-amplitude EEG feature associated with N3 sleep.,seed
ent_7a392e232e4d7306,sleep onset insomnia,Entity:Sleep_Symptom,"initial insomnia, sleep onset insomnia",Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_ca0246b505bb4e60,sleep maintenance insomnia,Entity:Sleep_Symptom,"middle insomnia, sleep maintenance insomnia",Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_f79237a2d3df3b9d,early morning awakening,Entity:Sleep_Symptom,"early morning awakening, ema",Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_0f03b7dcd976fdea,terminal insomnia,Entity:Sleep_Symptom,terminal insomnia,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_12e034920da98f49,non-restorative sleep,Entity:Sleep_Symptom,non-restorative sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
ent_b839bcce4458c6ae,restless sleep,Entity:Sleep_Symptom,restless sleep,Sleep-related symptom relevant to mood and emotion modeling.,seed
