:ID,source,source_id,title,abstract,url,:LABEL
pubmed:41912790,pubmed,41912790,Circuit-targeted modulation of anxiety symptoms in individuals with major depression: A randomized head-to-head TMS trial.,"Transcranial magnetic stimulation (TMS) is effective for major depressive disorder (MDD) and anxious depression despite imprecise scalp-based targeting. Retrospective connectomics analyses suggest that targeting one brain circuit preferentially improves ""dysphoric"" symptoms, while targeting a different brain circuit preferentially improves ""anxiosomatic"" symptoms. Here, we tested this hypothesis prospectively by randomizing adults with MDD (n = 40, age 18-65) who had moderate-to-severe symptoms of depression (Beck Depression Inventory (BDI) ≥ 20) and anxiety (Beck Anxiety Inventory (BAI) ≥ 16) to a 30-treatment TMS course at the dysphoric circuit target (MNI coordinates [-32, 44, 34], close to the conventional left dorsolateral prefrontal cortex target for MDD), or at the anxiosomatic circuit target (MNI coordinates [0, 48, 46], a dorsomedial target not routinely used). As hypothesized, dysphoric circuit targeting (n = 16) improved BDI more than BAI (ratio 1.08, IQR 0.69-2.02), while anxiosomatic circuit targeting (n = 20) improved BAI more than BDI (ratio 0.70, IQR 0.01-1.01) (Wilcoxon rank-sum test p = 0.0195). Both targets improved BDI (55 vs 54%), but BAI improved significantly more with anxiosomatic circuit targeting (58 vs 36%, p = 0.0301), even when controlling for BDI (p < 0.001). Thus, TMS targeting different connectome-derived brain circuits differentially modulates anxiety that is comorbid with major depressive disorder. Future studies could target according to baseline symptom profile, a step toward precision psychiatry. Trial Registration Number NCT04604210.",https://pubmed.ncbi.nlm.nih.gov/41912790/,Document:Pubmed
pubmed:41912493,pubmed,41912493,"Bisphenol a exposure and major depressive disorder: an integrative analysis combining network toxicology, molecular docking, genetic epidemiology, and transcriptomic validation.","Bisphenol A (BPA) is a widely used endocrine-disrupting chemical that has been implicated in neurodevelopmental and psychiatric disorders; however, the molecular mechanisms linking BPA exposure to major depressive disorder (MDD) remain poorly understood. In this study, we systematically investigated the potential toxicological effects of BPA on MDD by integrating network toxicology, summary-data-based Mendelian randomization (SMR), single-cell RNA sequencing (scRNA-seq), molecular docking, and experimental validation. BPA-related targets were collected from multiple databases and intersected with MDD-associated genes, followed by functional enrichment analyses and construction of a protein-protein interaction network to identify core targets. Causal relationships between candidate targets and MDD were assessed using SMR analysis based on genome-wide association study (GWAS) and expression quantitative trait loci (eQTL) data. Cell-type-specific expression patterns were examined using scRNA-seq data from MDD patients, while molecular docking was employed to evaluate the binding affinities between BPA and core target proteins. Differential expression of key targets was further validated using public bulk RNA-seq datasets, Enzyme-Linked Immunosorbent Assay (ELISA), and BPA exposure were further confirmed via quantitative real-time PCR (qRT-PCR) in BPA-induced MDD mouse models, together with behavioral assessments. A total of 571 shared targets between BPA and MDD were identified, enriched in pathways related to neurodevelopment, synaptic plasticity, and cognitive function. Six core targets (ESR1, SRC, EGFR, AKT1, PLCG2, and JAK3) were highlighted. MR and SMR analyses supported causal roles for AKT1, SRC, PLCG2, and JAK3 in MDD, whereas EGFR exhibited a protective effect. These findings provide integrative evidence for molecular mechanisms underlying BPA-associated susceptibility to MDD and identify potential targets for future therapeutic intervention.",https://pubmed.ncbi.nlm.nih.gov/41912493/,Document:Pubmed
pubmed:41912491,pubmed,41912491,Brain network localization of anhedonia.,"Anhedonia, encompassing a broad spectrum of deficits in reward processing, is highly prevalent in major depressive disorder (MDD) and constitutes one of its core symptoms. While substantial progress has recently been made in mapping neuropsychiatric symptoms to specific brain networks, focused efforts to examine network localization of anhedonia are limited. We initially synthesized extant neuroimaging literature to identify brain locations with structural or functional alterations related to anhedonia. By integrating these affected brain locations with large-scale discovery (1113 healthy individuals) and validation (1093 healthy individuals and 255 MDD patients) resting-state functional magnetic resonance imaging datasets, we then applied novel functional connectivity network mapping to construct an anhedonia network. The anhedonia network was composed of the dorsal anterior cingulate cortex, insula, lateral prefrontal cortex, and striatum, principally implicating the canonical ventral attention and subcortical networks. Further analyses revealed that the trait and state anhedonia networks preferentially involved the default and limbic networks respectively, in addition to the commonly affected ventral attention and subcortical networks. Our findings may not only advance the understanding of the neurobiology underlying anhedonia from a network perspective, but also potentially contribute to more targeted and effective intervention strategies for anhedonia.",https://pubmed.ncbi.nlm.nih.gov/41912491/,Document:Pubmed
pubmed:41912115,pubmed,41912115,The role of cognitive and affective changes in preventing depressive relapse: A network analysis approach to understanding the mechanisms of preventive cognitive therapy.,"Relapse is a debilitating and common feature of Major Depressive Disorder (MDD). Preventive cognitive therapy (PCT), designed for relapse prevention and delivered after remission, has been shown clinically effective in preventing relapse up to 20 years, but mechanisms are currently unclear. A comprehensive understanding of the cognitive-affective processes that change after PCT may point to intervention targets that are essential in lowering the relapse risk further. Using data from 69 unmedicated remitted recurrent MDD individuals in the NEWPRIDE randomized controlled trial, we examined changes in cognitive and affective process following a three-month PCT intervention (n = 45) or waiting list (n = 24). We investigated changes in cognitive and affective domains of functioning using a mixed graphical model and studied which changes predicted relapse at 18 months. PCT related directly to changes in anhedonia and habitual use of cognitive reappraisal, which were in turn related to changes in dysfunctional attitudes. Anhedonia was identified as a mediator in lowering dysfunctional attitudes in PCT recipients, (a2b2: est. = 0.361, p = 0.003). Finally, change in anhedonia [OR = 0.79; 95% CI:0.68-0.92, p = 0.003] and dysfunctional attitudes [OR = 0.93; 95% CI: 0.86-0.99, p = 0.041] predicted relapse status at 18-month follow-up in PCT-recipients. Our findings suggest that changes in anhedonia and dysfunctional attitudes explain the long-term relapse preventive effects of PCT, of which the latter is partially achieved through effects on anhedonia. This suggests that modulating the positive affective domain is a crucial aspect of PCT in lowering the dysfunctional attitudes vulnerability for relapse.",https://pubmed.ncbi.nlm.nih.gov/41912115/,Document:Pubmed
pubmed:41912094,pubmed,41912094,Neural correlates of rumination in psychiatric disorders: A systematic review of fMRI evidence.,"Rumination is a transdiagnostic, persistent factor across many psychiatric conditions. Mapping its neural mechanisms may help differentiate ruminative profiles. To systematically review fMRI studies that evaluated rumination in psychiatric populations METHODS: We searched four databases (PubMed, EMBASE, Web of Science, Scopus) and included studies that integrated rumination measures with fMRI data. Thirty-two articles met criteria; most were non-randomized (n = 31, 97%) and focused on depression (n = 24, 75%). Across disorders, clinical groups showed higher rumination than healthy controls, including in euthymic participants. In major depressive disorder, neural alterations implicated the default mode network, limbic and striatal regions, dorsolateral prefrontal cortex, and anterior cingulate cortex consistent with maladaptive ongoing processing. Neural signatures often persisted in remitted patients, suggesting possible trait markers of vulnerability. Intervention studies (n = 7) support using neuroimaging to track ruminative profiles and to inform more personalized interventions. This review highlights the importance of examining rumination, here measured via trait questionnaires, state-induction paradigms, cognitive tasks, or resting-state fMRI, using more consistent conceptual and methodological approaches. Although rumination is transdiagnostic, implicated brain regions and networks may show disorder-specific patterns. Given heterogeneity in the literature, future work should prioritize controlled and interventional studies to clarify neural mechanisms and guide circuit-based, targeted treatments. PROSPERO REGISTRATION: #CRD532512.",https://pubmed.ncbi.nlm.nih.gov/41912094/,Document:Pubmed
pubmed:41911630,pubmed,41911630,Decreasing prevalence in youth depressive episodes: Evidence from the 2021-2024 national survey on drug use and health.,"Major depressive disorder (MDD) is a leading contributor to the global burden of disease and commonly develops during adolescence. The COVID-19 pandemic was linked to significant increases in depressive symptoms among youth, but less is known about whether these increases have continued in recent years. Using the first four consecutive years of methodologically comparable national data since the pandemic, we examined changes in past-year major depressive episode (MDE) among U.S. adolescents aged 12-17 years from 2021 to 2024 and evaluated demographic and substance use factors. We analyzed pooled, cross-sectional data from the 2021-2024 National Survey on Drug Use and Health (NSDUH), a nationally representative survey of non-institutionalized U.S. residents. The sample included 43,828 adolescents aged 12-17 years. Past-year MDE was assessed using DSM-5-based criteria. Survey-weighted logistic regression models estimated changes over time and adjusted associations with age, sex, race/ethnicity, and past-year tobacco, alcohol, and marijuana use. Predicted prevalences and 95% confidence intervals were calculated using post-estimation margins. The prevalence of past-year MDE decreased from 20.5% in 2021 to 14.8% in 2024, reflecting a 38.5% relative reduction. Adjusted models showed decreasing odds of MDE over time. Girls had significantly higher odds of MDE compared to boys, and older adolescents were at greatest risk. Compared with non-Hispanic White adolescents, non-Hispanic Black/African American, non-Hispanic Asian, and non-Hispanic Native Hawaiian/Other Pacific Islander adolescents had lower odds of MDE, while non-Hispanic multiracial adolescents had higher odds. Alcohol and marijuana use were linked to increased odds of MDE. Past-year MDE among U.S. adolescents declined from 2021 to 2024, indicating partial recovery following pandemic-related increases. Despite overall improvements, ongoing disparities based on sex, age, race/ethnicity, and substance use highlight ...",https://pubmed.ncbi.nlm.nih.gov/41911630/,Document:Pubmed
pubmed:41911075,pubmed,41911075,An increase in C-reactive protein levels during antidepressant treatment as a candidate marker for treatment non-response in major depressive disorder.,"Introduction One-third of patients with major depressive disorder (MDD) exhibit low-grade inflammation as reflected by C-reactive protein (CRP) concentrations > 3 mg/L. We explored whether CRP changes from baseline to week one of antidepressant treatment (ΔCRP) can serve as a marker of treatment response. Methods CRP serum levels were measured at baseline and after the first week of treatment in 33 MDD patients and correlated with patients' Hamilton depression scale (HAM-D), while adjusting for age, gender and body mass index. We assessed antidepressant responses at weeks one and four of treatment as a > 25% and > 50% HAM-D score reduction (ΔHAM-D) compared to baseline, respectively. We compared baseline and week-one CRP levels with the paired t-test within responders and non-responders separately and ΔCRP between the groups with the ANCOVA. Results Higher ΔCRP correlated with lower week-four ΔHAM-D scores (r = -0.5, p = 0.006). Non-responders showed higher ΔCRP - but not baseline and week-one CRP - than responders (p = 0.018, Cohen's d = 1.1). A ΔCRP increase was observed in 13/16 (81%) non-responders and 7/17 (41%) responders (Fisher's exact test's p = 0.03). A ΔCRP increase combined with a week-one non-response was observed in 13/16 (81%) non-responders and 1/17 (6%) responders (p < 0.0001). Conclusions Rather ΔCRP at week one than baseline CRP might be indicative of treatment response at week four, especially if combined with week-one ΔHAM-D. In the future, ΔCRP could be introduced into psychiatric practice to guide treatment plans.",https://pubmed.ncbi.nlm.nih.gov/41911075/,Document:Pubmed
pubmed:41908122,pubmed,41908122,Feasibility of home-based accelerated intermittent theta-burst stimulation (aiTBS) for depression: a case series.,"Transcranial magnetic stimulation (TMS) is an established treatment option for major depressive disorder (MDD) but is currently limited to clinical settings such as hospitals or doctors' offices. Technical and logistical challenges have so far prevented its application in patients' homes. In this pilot study, five outpatients with MDD (aged 29-65 years), living up to 120 km from a tertiary care hospital (Regensburg, Germany), received home-based TMS treatment using an accelerated intermittent theta burst stimulation protocol (aiTBS; 5 sessions per day, 1800 pulses per session). Treatment was delivered using a conventional DuoMAG XT-100 device (Deymed Diagnostics, Hronov, Czech Republic). Feasibility was evaluated through assessment of logistical challenges, device handling, safety, treatment tolerability and patient satisfaction. Depressive symptoms were measured before and after treatment using the 21-item Hamilton Depression Rating Scale (HAMD-21) and the Major Depression Inventory (MDI). Home-based TMS treatment was feasible with no serious adverse events reported. A reduction in depressive symptom scores was observed. Major logistical challenges included device transport, space requirements and the need for trained personnel on site. Our pilot data demonstrate the feasibility of home-based TMS using a conventional clinical device, while highlighting substantial technical and logistical limitations. These limitations underscore the urgent need for the development of lightweight, portable and patient-friendly TMS devices to facilitate the delivery of neurostimulation therapies beyond clinical settings. Further studies with larger samples are warranted, using randomized controlled designs comparing home-based and clinic-based TMS to evaluate not only feasibility, but also efficacy under standardized conditions.",https://pubmed.ncbi.nlm.nih.gov/41908122/,Document:Pubmed
pubmed:41907792,pubmed,41907792,Utility of Functional Near-infrared Spectroscopy (fNIRS) in Major Depressive Disorder: A Systematic Review.,"Functional near-infrared spectroscopy (fNIRS) is a non-invasive, portable, and cost-effective neuroimaging tool for monitoring brain activity in real-world settings. Its advantages make it promising for clinical use in assessing major depressive disorder (MDD). This review evaluates current literature on the utility of fNIRS in MDD. Following PRISMA guidelines, English-language studies (2011-2025) from MEDLINE, ScienceDirect, and EMBASE were reviewed. Inclusion criteria: Studies using fNIRS to (a) differentiate MDD from controls, (b) correlate cerebral activity with symptoms, (c) monitor treatment response, or (d) distinguish MDD from other psychiatric disorders. Of 6,312 records, 166 studies met the inclusion criteria. Most found reduced oxygenated hemoglobin (oxy-Hb) responses in prefrontal regions during cognitive and emotional tasks in MDD, especially on verbal fluency. Greater depression severity correlated with lower oxy-Hb, which increased as symptoms improved. fNIRS may also help distinguish MDD from other psychiatric disorders. fNIRS reliably detects reduced prefrontal activation in MDD, reflecting illness severity and treatment response. However, methodological differences limit broader clinical use. Standardized protocols and larger studies are needed for routine clinical adoption.",https://pubmed.ncbi.nlm.nih.gov/41907792/,Document:Pubmed
pubmed:41906202,pubmed,41906202,Prevalence and related factors of anxiety symptoms in patients with major depressive disorder and a history of recent suicide attempts: cross-sectional study.,"Patients with major depressive disorder (MDD) are known to be at a heightened risk of suicide. Research indicates that comorbid anxiety may further elevate this risk. However, studies specifically examining the prevalence of anxiety and its associated factors among patients with MDD and history of a recent suicide attempt (RSA) remain limited. To investigate the prevalence of anxiety and the factors associated with its severity in patients with MDD. A total of 1718 patients with MDD were included. Hypothesis testing and binary logistic regression were employed to examine differences in anxiety severity and clinical factors between patients with and without an RSA, as well as the association between anxiety severity and RSA. Subsequently, patients with MDD were categorised into three subgroups based on anxiety severity. One-way analysis of variance and multivariate logistic regression were then conducted to identify factors associated with anxiety symptoms. Anxiety severity was identified as an independent correlate of RSA. Compared with patients with anxiety, patients with MDD and significant or severe anxiety had a 2.9-fold and 11.8-fold increased risk of RSA, respectively. Furthermore, Hamilton Rating Scale for Depression score, Positive and Negative Syndrome Scale positive subscale score, and thyroid function indices (free triiodothyronine and thyroid-stimulating hormone levels) were also determined to be independent correlates of anxiety severity. Anxiety is associated with risk of RSA in patients with MDD, and depressive symptoms, positive psychotic symptoms and thyroid function may be related factors for severity of anxiety.",https://pubmed.ncbi.nlm.nih.gov/41906202/,Document:Pubmed
