relation_id,head_entity_id,relation_type,tail_entity_id,evidence_text,source,source_id,confidence,created_at
rel_832c2c00eec358fa,D003866,measured_by,ent_b06456b185ec5f0b,"Transcranial magnetic stimulation (TMS) is effective for major depressive disorder (MDD) and anxious depression despite imprecise scalp-based targeting. Retrospective connectomics analyses suggest that targeting one brain circuit preferentially improves ""dysphoric"" symptoms, while targeting a different brain circuit preferentially improves ""anxiosomatic"" symptoms. Here, we tested this hypothesis prospectively by randomizing adults with MDD (n = 40, age 18-65) who had moderate-to-severe symptoms ",pubmed,41912790,0.7,2026-04-09T08:21:54+00:00
rel_b2b8c2ae3f87f373,D003865,measured_by,ent_b06456b185ec5f0b,"Transcranial magnetic stimulation (TMS) is effective for major depressive disorder (MDD) and anxious depression despite imprecise scalp-based targeting. Retrospective connectomics analyses suggest that targeting one brain circuit preferentially improves ""dysphoric"" symptoms, while targeting a different brain circuit preferentially improves ""anxiosomatic"" symptoms. Here, we tested this hypothesis prospectively by randomizing adults with MDD (n = 40, age 18-65) who had moderate-to-severe symptoms ",pubmed,41912790,0.7,2026-04-09T08:21:54+00:00
rel_c27c79320d18dccb,ent_9a51bf8a0d073c82,treats,D003866,"Transcranial magnetic stimulation (TMS) is effective for major depressive disorder (MDD) and anxious depression despite imprecise scalp-based targeting. Retrospective connectomics analyses suggest that targeting one brain circuit preferentially improves ""dysphoric"" symptoms, while targeting a different brain circuit preferentially improves ""anxiosomatic"" symptoms. Here, we tested this hypothesis prospectively by randomizing adults with MDD (n = 40, age 18-65) who had moderate-to-severe symptoms ",pubmed,41912790,0.78,2026-04-09T08:21:54+00:00
rel_bf1b2bc5512f6194,ent_9a51bf8a0d073c82,treats,D003865,"Transcranial magnetic stimulation (TMS) is effective for major depressive disorder (MDD) and anxious depression despite imprecise scalp-based targeting. Retrospective connectomics analyses suggest that targeting one brain circuit preferentially improves ""dysphoric"" symptoms, while targeting a different brain circuit preferentially improves ""anxiosomatic"" symptoms. Here, we tested this hypothesis prospectively by randomizing adults with MDD (n = 40, age 18-65) who had moderate-to-severe symptoms ",pubmed,41912790,0.78,2026-04-09T08:21:54+00:00
rel_29c363651130d70e,D003866,has_symptom,S0000002,"Anhedonia, encompassing a broad spectrum of deficits in reward processing, is highly prevalent in major depressive disorder (MDD) and constitutes one of its core symptoms. While substantial progress has recently been made in mapping neuropsychiatric symptoms to specific brain networks, focused efforts to examine network localization of anhedonia are limited. We initially synthesized extant neuroimaging literature to identify brain locations with structural or functional alterations related to an",pubmed,41912491,0.75,2026-04-09T08:21:54+00:00
rel_206eb48814f5e177,D003865,has_symptom,S0000002,"Anhedonia, encompassing a broad spectrum of deficits in reward processing, is highly prevalent in major depressive disorder (MDD) and constitutes one of its core symptoms. While substantial progress has recently been made in mapping neuropsychiatric symptoms to specific brain networks, focused efforts to examine network localization of anhedonia are limited. We initially synthesized extant neuroimaging literature to identify brain locations with structural or functional alterations related to an",pubmed,41912491,0.75,2026-04-09T08:21:54+00:00
rel_0ed3110227596002,D003866,has_symptom,S0000002,"Relapse is a debilitating and common feature of Major Depressive Disorder (MDD). Preventive cognitive therapy (PCT), designed for relapse prevention and delivered after remission, has been shown clinically effective in preventing relapse up to 20 years, but mechanisms are currently unclear. A comprehensive understanding of the cognitive-affective processes that change after PCT may point to intervention targets that are essential in lowering the relapse risk further. Using data from 69 unmedicat",pubmed,41912115,0.75,2026-04-09T08:21:54+00:00
rel_5b067b73a68757d5,D003865,has_symptom,S0000002,"Relapse is a debilitating and common feature of Major Depressive Disorder (MDD). Preventive cognitive therapy (PCT), designed for relapse prevention and delivered after remission, has been shown clinically effective in preventing relapse up to 20 years, but mechanisms are currently unclear. A comprehensive understanding of the cognitive-affective processes that change after PCT may point to intervention targets that are essential in lowering the relapse risk further. Using data from 69 unmedicat",pubmed,41912115,0.75,2026-04-09T08:21:54+00:00
rel_05b945992f0766cf,D003866,measured_by,SC000002,"Transcranial magnetic stimulation (TMS) is an established treatment option for major depressive disorder (MDD) but is currently limited to clinical settings such as hospitals or doctors' offices. Technical and logistical challenges have so far prevented its application in patients' homes. In this pilot study, five outpatients with MDD (aged 29-65 years), living up to 120 km from a tertiary care hospital (Regensburg, Germany), received home-based TMS treatment using an accelerated intermittent th",pubmed,41908122,0.7,2026-04-09T08:21:54+00:00
rel_31478c5f0761cdbf,D003865,measured_by,SC000002,"Transcranial magnetic stimulation (TMS) is an established treatment option for major depressive disorder (MDD) but is currently limited to clinical settings such as hospitals or doctors' offices. Technical and logistical challenges have so far prevented its application in patients' homes. In this pilot study, five outpatients with MDD (aged 29-65 years), living up to 120 km from a tertiary care hospital (Regensburg, Germany), received home-based TMS treatment using an accelerated intermittent th",pubmed,41908122,0.7,2026-04-09T08:21:54+00:00
rel_01298cae452c8570,ent_9a51bf8a0d073c82,treats,D003866,"Transcranial magnetic stimulation (TMS) is an established treatment option for major depressive disorder (MDD) but is currently limited to clinical settings such as hospitals or doctors' offices. Technical and logistical challenges have so far prevented its application in patients' homes. In this pilot study, five outpatients with MDD (aged 29-65 years), living up to 120 km from a tertiary care hospital (Regensburg, Germany), received home-based TMS treatment using an accelerated intermittent th",pubmed,41908122,0.78,2026-04-09T08:21:54+00:00
